round,accuracy,precision,recall,f1,loss
1,0.28,0.24890237919579739,0.27745946900727136,0.22067604156994292,0.0
2,0.355,0.35681381108657684,0.356951327393604,0.3401388914777974,0.0
3,0.382,0.3781723164937989,0.3864520530851266,0.3613621910572738,0.0
4,0.4115,0.4091979749158066,0.41019238209853914,0.398889980140763,0.0
5,0.418,0.41645028622682234,0.4218753559367966,0.4032850394815249,0.0
